C9EC  4C F3 C9  JMP $C9F3                        A:40 X:00 Y:00 P:A4 SP:FB
C9F3  EA        NOP                              A:40 X:00 Y:00 P:A4 SP:FB
C9F4  A9 80     LDA #$80                         A:40 X:00 Y:00 P:A4 SP:FB
C9F6  C9 00     CMP #$00                         A:80 X:00 Y:00 P:A4 SP:FB
C9F8  F0 07     BEQ $07                          A:80 X:00 Y:00 P:A5 SP:FB
C9FA  10 05     BPL $05                          A:80 X:00 Y:00 P:A5 SP:FB
C9FC  90 03     BCC $03                          A:80 X:00 Y:00 P:A5 SP:FB
C9FE  4C 05 CA  JMP $CA05                        A:80 X:00 Y:00 P:A5 SP:FB
CA05  EA        NOP                              A:80 X:00 Y:00 P:A5 SP:FB
CA06  C9 80     CMP #$80                         A:80 X:00 Y:00 P:A5 SP:FB
CA08  D0 07     BNE $07                          A:80 X:00 Y:00 P:27 SP:FB
CA0A  30 05     BMI $05                          A:80 X:00 Y:00 P:27 SP:FB
CA0C  90 03     BCC $03                          A:80 X:00 Y:00 P:27 SP:FB
CA0E  4C 15 CA  JMP $CA15                        A:80 X:00 Y:00 P:27 SP:FB
CA15  EA        NOP                              A:80 X:00 Y:00 P:27 SP:FB
CA16  C9 81     CMP #$81                         A:80 X:00 Y:00 P:27 SP:FB
CA18  B0 07     BCS $07                          A:80 X:00 Y:00 P:A4 SP:FB
CA1A  F0 05     BEQ $05                          A:80 X:00 Y:00 P:A4 SP:FB
CA1C  10 03     BPL $03                          A:80 X:00 Y:00 P:A4 SP:FB
CA1E  4C 25 CA  JMP $CA25                        A:80 X:00 Y:00 P:A4 SP:FB
CA25  EA        NOP                              A:80 X:00 Y:00 P:A4 SP:FB
CA26  C9 7F     CMP #$7F                         A:80 X:00 Y:00 P:A4 SP:FB
CA28  90 07     BCC $07                          A:80 X:00 Y:00 P:25 SP:FB
CA2A  F0 05     BEQ $05                          A:80 X:00 Y:00 P:25 SP:FB
CA2C  30 03     BMI $03                          A:80 X:00 Y:00 P:25 SP:FB
CA2E  4C 35 CA  JMP $CA35                        A:80 X:00 Y:00 P:25 SP:FB
CA35  EA        NOP                              A:80 X:00 Y:00 P:25 SP:FB
CA36  24 01     BIT $01 = FF                     A:80 X:00 Y:00 P:25 SP:FB
CA38  A0 40     LDY #$40                         A:80 X:00 Y:00 P:E5 SP:FB
CA3A  C0 40     CPY #$40                         A:80 X:00 Y:40 P:65 SP:FB
CA3C  D0 09     BNE $09                          A:80 X:00 Y:40 P:67 SP:FB
CA3E  30 07     BMI $07                          A:80 X:00 Y:40 P:67 SP:FB
CA40  90 05     BCC $05                          A:80 X:00 Y:40 P:67 SP:FB
CA42  50 03     BVC $03                          A:80 X:00 Y:40 P:67 SP:FB
CA44  4C 4B CA  JMP $CA4B                        A:80 X:00 Y:40 P:67 SP:FB
CA4B  EA        NOP                              A:80 X:00 Y:40 P:67 SP:FB
CA4C  B8        CLV                              A:80 X:00 Y:40 P:67 SP:FB
CA4D  C0 3F     CPY #$3F                         A:80 X:00 Y:40 P:27 SP:FB
CA4F  F0 09     BEQ $09                          A:80 X:00 Y:40 P:25 SP:FB
CA51  30 07     BMI $07                          A:80 X:00 Y:40 P:25 SP:FB
CA53  90 05     BCC $05                          A:80 X:00 Y:40 P:25 SP:FB
CA55  70 03     BVS $03                          A:80 X:00 Y:40 P:25 SP:FB
CA57  4C 5E CA  JMP $CA5E                        A:80 X:00 Y:40 P:25 SP:FB
CA5E  EA        NOP                              A:80 X:00 Y:40 P:25 SP:FB
CA5F  C0 41     CPY #$41                         A:80 X:00 Y:40 P:25 SP:FB
CA61  F0 07     BEQ $07                          A:80 X:00 Y:40 P:A4 SP:FB
CA63  10 05     BPL $05                          A:80 X:00 Y:40 P:A4 SP:FB
CA65  10 03     BPL $03                          A:80 X:00 Y:40 P:A4 SP:FB
CA67  4C 6E CA  JMP $CA6E                        A:80 X:00 Y:40 P:A4 SP:FB
CA6E  EA        NOP                              A:80 X:00 Y:40 P:A4 SP:FB
